,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,zipcode,tel
1101,경상북도 영덕군 영해면 318만세길 36,,35,A02,A0206,A02060600,130701,14,20051222000000,http://tong.visitkorea.or.kr/cms/resource/65/183165_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/183165_image3_1.jpg,129.4050278658,36.5297576222,6,20180227102527,17888,12,예주문화예술회관,36409,
1102,경상북도 예천군 예천읍 충효로 209-15,,35,A02,A0206,A02060600,130103,14,20071106014220,http://tong.visitkorea.or.kr/cms/resource/62/1890262_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/1890262_image3_1.jpg,128.4456982760,36.6513588546,6,20180326141322,19132,16,예천군 문화회관,36827,
1103,경상북도 예천군 예천읍 충효로 209-15,,35,A02,A0206,A02060700,130015,14,20071106013844,http://tong.visitkorea.or.kr/cms/resource/68/1890168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1890168_image3_1.jpg,128.4456982760,36.6513588546,6,20180131172010,15940,16,예천문화원,36827,
1104,서울특별시 강남구 압구정로12길 18,(신사동),1,A02,A0206,A02060500,129923,14,20071106013541,http://tong.visitkorea.or.kr/cms/resource/10/1258210_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/1258210_image3_1.jpg,127.0222016095,37.5228712150,6,20180314165922,31282,1,예화랑,06028,
1105,경상북도 문경시 문경읍 새재로 944,,35,A02,A0206,A02060100,130314,14,20071106015151,http://tong.visitkorea.or.kr/cms/resource/00/1718600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1718600_image3_1.jpg,128.0763724895,36.7631530866,6,20180604132736,40996,7,옛길박물관,36919,
1106,경기도 파주시 탄현면 헤이리마을길 59-63,,31,A02,A0206,A02060100,736105,14,20090518162938,http://tong.visitkorea.or.kr/cms/resource/37/737737_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/737737_image3_1.jpg,126.6958349608,37.7902231498,6,20190926173054,19888,27,옛생활 체험박물관 타임캡슐,10859,
1107,대전광역시 동구 산내로 321-35,(하소동),3,A02,A0206,A02060100,130890,14,20070125000000,,,127.4404889558,36.2151542923,6,20180717113027,35585,2,옛터민속박물관,34712,
1108,경기도 남양주시 오남읍 팔현로175번길 214-24,,31,A02,A0206,A02060300,790159,14,20090831154850,http://tong.visitkorea.or.kr/cms/resource/39/1786039_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1786039_image3_1.jpg,127.2516979928,37.6956330648,6,20190926153447,25486,9,오남공룡체험전시관,12038,
1109,충청북도 충주시 앙성면 가곡로 1434,,33,A02,A0206,A02060100,2605828,14,20190610173726,http://tong.visitkorea.or.kr/cms/resource/69/2603269_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2603269_image3_1.jpg,127.7945355490,37.0942403921,6,20191030132823,0,11,오대호아트팩토리,27302,
1110,부산광역시 금정구 오륜대로 106-1,(부곡동),6,A02,A0206,A02060100,1607119,14,20120419101210,,,129.1015467296,35.2461579534,6,20181224135011,17219,2,오륜대 한국순교자박물관,46265,
1111,충청남도 태안군 안면읍 안면대로 3171-6,,34,A02,A0206,A02060500,2639878,14,20191205175708,http://tong.visitkorea.or.kr/cms/resource/30/2639830_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/30/2639830_image2_1.bmp,126.3579563576,36.4987474112,6,20191206110731,0,14,오마이갤러리,32166,
1112,강원도 양양군 손양면 학포길 33,,32,A02,A0206,A02060100,130930,14,20070719000000,http://tong.visitkorea.or.kr/cms/resource/85/2365185_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2365185_image3_1.jpg,128.6604471476,38.0859003350,6,20180406105115,40382,7,오산리선사유적박물관,25042,
1113,경기도 오산시 경기동로 41,(오산동),31,A02,A0206,A02060600,1730375,14,20121009095225,http://tong.visitkorea.or.kr/cms/resource/76/1858976_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1858976_image3_1.jpg,127.0768179667,37.1594893050,6,20191205173815,19638,22,오산문화예술회관,18131,
1114,경기도 오산시 성호대로 89,(오산동) 오산세명프라자 201호,31,A02,A0206,A02060700,130195,14,20071106014633,,,127.0713743035,37.1491404039,6,20180710151853,16403,22,오산문화원,18135,
1115,전라북도 완주군 소양면 오도길 24,,37,A02,A0206,A02060500,2606148,14,20190612150206,http://tong.visitkorea.or.kr/cms/resource/74/2369274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2369274_image3_1.jpg,127.2397234665,35.9048083655,6,20190612150206,0,8,오스갤러리,55348,
1116,대전광역시 서구 둔산중로78번길 36,(둔산동),3,A02,A0206,A02060500,129851,14,20071106013309,http://tong.visitkorea.or.kr/cms/resource/91/1944891_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1944891_image3_1.jpg,127.3887231746,36.3532820310,6,20180321112257,32091,3,오원화랑,35240,
1117,충청북도 보은군 회인면 회인로5길 12,,33,A02,A0206,A02060200,1940652,14,20140812093528,,,127.5962119042,36.4930364084,6,20191113172710,2673,3,오장환문학관,28929,
1118,전라남도 화순군 동복면 독상1길 10,,38,A02,A0206,A02060200,742784,14,20090527152340,http://tong.visitkorea.or.kr/cms/resource/53/742253_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/742253_image3_1.jpg,127.1310018891,35.0680318326,6,20190926170548,18630,24,오지호기념관,58102,
1119,충청북도 옥천군 옥천읍 문정1길 32,,33,A02,A0206,A02060600,1729761,14,20121008105506,,,127.5741635098,36.3037048912,6,20191205174216,17166,5,옥천문화예술회관,29039,
1120,충청북도 옥천군 옥천읍 관성로 35,,33,A02,A0206,A02060700,130425,14,20071106015647,http://tong.visitkorea.or.kr/cms/resource/53/1847853_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/1847853_image3_1.jpg,127.5729525720,36.3013106984,6,20180702153146,20740,5,옥천문화원,29039,
1121,충청남도 아산시 충무로 123,(권곡동),34,A02,A0206,A02060100,130063,14,20071106014036,http://tong.visitkorea.or.kr/cms/resource/69/2366369_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2366369_image3_1.jpg,127.0061678147,36.7921443303,6,20180625112531,55061,9,온양민속박물관,31510,
1122,전라북도 남원시 충정로 65,(동충동),37,A02,A0206,A02060300,2041366,14,20151116100124,http://tong.visitkorea.or.kr/cms/resource/75/2041375_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2041375_image2_1.jpg,127.3822264440,35.4134443767,6,20191111170617,4751,4,옻칠목공체험관광협동조합,55748,
1123,경기도 안산시 단원구 와동공원로 109,와동체육공원 내 별도 전시관 (와동),31,A02,A0206,A02060300,2513112,14,20171027092426,,,126.8202695617,37.3400249447,6,20191023141003,1198,15,와동 생태곤충 체험관,15252,
1124,전라남도 강진군 병영면 장강로 804-6,,38,A02,A0206,A02060100,1524481,14,20120103143305,,,126.8267933686,34.6997653663,6,20180111172324,20632,1,와보랑께박물관,59215,
1125,경상남도 사천시 곤명면 경서대로 3552,,36,A02,A0206,A02060500,2623675,14,20191008173927,http://tong.visitkorea.or.kr/cms/resource/70/2623670_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/70/2623670_image2_1.bmp,127.9882496782,35.1390026068,6,20191010093020,0,8,와인갤러리,52502,
1126,전라남도 완도군 완도읍 개포로159번길 55,,38,A02,A0206,A02060600,1752704,14,20121115131237,,,126.7416988086,34.3236644374,6,20191203173633,17968,18,완도문화예술의전당,59109,
1127,전라남도 완도군 완도읍 개포로159번길 44,,38,A02,A0206,A02060700,130035,14,20071106013925,http://tong.visitkorea.or.kr/cms/resource/22/1971122_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1971122_image3_1.jpg,126.7433986727,34.3231034168,6,20180220173314,17332,18,완도문화원,59109,
1128,전라남도 완도군 완도읍 화흥포길 149,,38,A02,A0206,A02060300,130504,14,20040510000000,http://tong.visitkorea.or.kr/cms/resource/03/168503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/168503_image3_1.jpg,126.6885705203,34.3073376133,6,20181030113010,23912,18,완도어촌민속전시관,59110,
1129,전라북도 완주군 고산면 읍내7길 43,,37,A02,A0206,A02060700,129980,14,20071106013739,http://tong.visitkorea.or.kr/cms/resource/77/1976177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1976177_image3_1.jpg,127.2125711865,35.9775579387,6,20180201171545,18172,8,완주문화원,55311,
1130,전라북도 완주군 삼례읍 삼봉로 215,(삼례읍),37,A02,A0206,A02060600,1784117,14,20130121150232,,,127.0931250152,35.9199985284,6,20191126175709,19024,8,완주향토예술문화회관,55333,
